Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
494,491,491,368,490
493,492,493,382,493
493,489,492,426,491
492,490,492,487,490
492,491,492,557,490
493,490,494,625,490
493,491,492,641,490
493,493,493,631,491
494,493,493,570,492
495,493,493,462,491
494,492,493,403,490
492,492,491,368,493
494,493,494,365,491
492,491,494,372,491
492,491,494,394,490
492,492,493,451,491
493,491,493,515,490
493,492,493,594,492
493,491,492,640,491
494,491,492,637,492
494,490,491,616,492
495,491,495,521,491
493,491,492,427,492
493,492,493,387,491
492,490,493,364,491
492,491,494,368,490
493,492,493,378,493
493,490,492,420,490
493,492,492,480,490
492,491,493,548,491
493,490,492,623,491
493,490,492,640,492
493,490,493,630,491
494,493,494,582,492
493,491,493,474,490
494,492,493,408,490
493,491,494,370,490
492,492,493,365,490
494,493,493,372,490
492,492,491,394,491
492,492,494,444,491
494,491,493,508,492
493,490,492,581,492
492,490,493,634,491
494,491,492,637,489
493,492,492,623,492
494,493,494,533,490
493,492,493,435,490
493,492,492,392,490
495,491,494,364,490
494,490,492,368,490
493,493,494,377,492
493,490,492,412,492
493,491,492,471,491
493,490,493,534,490
491,491,492,618,491
494,492,493,642,490
492,491,494,632,491
494,493,492,591,491
495,492,492,487,491
494,492,492,412,491
492,492,494,376,493
494,490,493,363,490
494,491,494,371,491
491,491,494,385,490
492,491,494,436,489
492,491,493,502,491
492,491,492,572,491
492,490,493,635,491
494,491,492,640,492
494,490,492,626,494
495,491,492,548,491
494,493,492,446,491
493,492,492,395,491
492,492,494,365,490
492,492,494,366,489
493,492,493,376,490
493,494,492,405,491
491,491,493,464,491
493,492,493,526,490
493,491,492,610,492
493,490,493,640,491
492,491,493,633,490
492,492,492,601,491
492,491,493,499,491
494,492,492,416,490
493,492,493,380,490
493,493,493,365,491
496,492,492,369,490
493,492,492,384,492
495,493,493,430,490
492,491,493,493,491
493,491,493,560,490
494,490,493,627,490
496,491,492,641,490
496,492,493,627,491
495,491,493,562,491
496,494,493,457,491
493,492,492,401,492
492,491,492,368,492
492,493,494,367,490
491,491,493,372,491
494,493,492,398,489
493,491,494,457,491
495,491,494,518,491
494,493,494,601,492
494,490,493,641,492
497,492,494,635,490
496,491,492,612,493
496,491,493,513,492
494,492,492,423,492
490,492,492,386,491
490,489,493,365,491
493,491,494,369,489
493,493,493,381,489
494,493,492,424,490
496,493,492,484,490
495,492,492,553,491
494,491,493,622,491
493,491,493,640,491
492,490,493,629,491
491,490,493,573,491
490,492,493,468,491
492,491,493,405,490
495,491,492,368,492
497,493,492,367,491
500,492,491,374,491
502,491,491,396,491
498,492,494,448,491
493,491,492,511,490
491,492,493,588,490
489,491,494,637,490
495,491,493,636,490
498,493,494,620,492
500,494,494,527,491
502,492,493,431,491
501,492,493,391,491
498,491,492,368,492
484,490,492,366,490
479,493,492,378,492
489,490,492,418,491
493,492,494,476,490
492,492,493,543,490
494,492,493,619,490
497,492,492,642,491
499,493,495,632,492
502,491,492,583,490
501,494,494,481,492
501,493,493,411,492
499,492,493,372,492
500,492,492,366,491
497,493,495,372,490
491,491,493,391,490
493,493,493,443,490
497,491,493,505,490
507,493,492,579,489
505,492,495,636,492
497,490,493,638,490
497,492,494,624,491
503,491,495,540,492
506,492,493,441,491
497,492,493,394,491
494,493,495,366,493
492,492,494,368,491
493,493,493,378,491
496,493,493,411,492
499,492,493,468,491
489,492,495,533,490
495,491,495,612,492
484,492,494,642,490
487,492,495,635,490
504,493,496,594,490
509,493,494,493,491
507,492,493,416,491
498,490,492,375,490
479,491,492,365,492
494,491,493,372,492
503,492,494,384,492
508,495,495,437,490
514,495,496,500,492
510,495,494,569,489
499,497,496,633,491
503,496,496,642,492
518,496,494,628,491
523,496,496,558,494
533,497,497,452,492
529,494,493,398,491
492,489,492,365,491
480,487,492,364,490
478,490,493,373,491
479,489,491,403,490
485,490,492,460,491
479,491,492,524,491
478,490,491,606,492
479,489,492,639,491
488,492,493,636,491
499,491,495,601,491
509,494,495,504,492
511,494,497,420,492
504,495,498,384,492
504,496,498,365,492
507,494,496,374,492
519,495,497,383,488
532,493,495,432,491
539,493,493,492,492
526,490,493,557,491
499,491,493,629,490
486,491,494,641,493
492,491,494,630,490
495,493,495,567,490
458,491,493,458,489
455,492,493,402,489
477,493,495,367,491
490,495,493,367,491
497,494,494,373,491
501,492,493,399,492
488,491,493,453,493
489,493,493,517,492
489,494,495,597,491
485,493,495,638,491
493,495,495,640,492
499,494,495,619,494
518,495,496,521,493
509,493,494,427,495
483,493,493,387,499
490,495,491,363,499
498,493,492,369,496
494,490,493,378,484
491,493,493,419,485
502,493,494,483,490
521,493,495,548,494
521,495,495,625,494
507,495,496,642,493
506,495,495,631,495
494,494,496,583,496
499,495,493,472,495
478,491,492,407,489
496,489,496,371,487
496,487,495,367,493
506,488,495,375,490
511,493,497,393,491
504,495,493,447,494
474,495,493,510,493
480,491,493,584,491
480,491,494,636,488
480,493,492,638,488
487,494,494,624,490
497,493,493,530,490
487,494,493,435,491
494,492,493,393,493
499,491,493,368,490
503,494,496,370,492
504,492,494,380,491
501,491,496,413,489
492,492,495,474,490
492,491,493,539,489
472,491,492,615,490
482,492,493,642,491
496,491,492,632,490
499,493,493,591,493
509,493,494,487,492
517,495,494,413,491
511,494,494,376,490
495,491,495,364,490
490,491,495,372,489
497,495,497,390,489
500,495,498,442,491
493,492,497,502,489
496,492,497,578,491
511,494,497,638,491
526,494,496,641,492
520,494,494,627,491
504,492,494,546,491
480,493,491,445,492
485,496,496,397,493
505,497,496,369,489
506,498,495,370,491
498,495,494,379,492
504,491,494,409,495
501,491,493,465,494
476,491,491,529,495
473,489,490,610,491
476,491,495,642,488
497,494,496,638,493
509,495,498,600,502
516,495,499,502,503
500,496,498,418,502
474,493,494,381,491
488,489,494,367,484
496,490,493,371,489
473,492,490,385,488
473,490,491,431,489
489,491,491,495,489
503,494,495,566,489
510,495,498,635,491
526,498,499,642,490
521,496,497,632,491
508,494,497,561,491
494,491,493,454,490
487,491,492,400,491
488,491,490,366,492
500,493,491,365,496
490,495,492,376,496
487,500,494,400,497
486,498,495,460,496
490,490,495,522,488
515,491,495,606,489
543,494,495,642,492
495,491,492,634,496
486,493,492,606,494
478,499,499,511,489
479,499,499,425,490
508,499,500,386,492
511,492,498,370,491
549,494,500,374,490
521,485,491,380,489
457,484,491,425,488
470,490,492,487,492
475,497,492,554,490
487,497,494,629,491
500,492,492,641,490
489,493,492,632,489
496,495,492,575,491
486,493,493,465,490
481,493,494,403,488
473,493,491,368,490
483,496,492,363,490
498,495,494,374,490
503,492,493,395,491
494,491,495,451,492
504,493,497,515,489
513,493,499,593,490
522,496,503,644,491
518,493,502,643,495
500,490,499,622,498
462,495,497,528,495
494,492,498,434,499
510,492,493,390,497
500,495,489,366,492
493,496,491,371,486
489,497,492,377,489
486,497,493,420,493
497,497,495,480,497
532,497,495,548,499
526,495,498,624,501
513,494,499,643,487
487,490,499,635,485
505,492,496,583,489
499,496,493,480,487
528,498,498,412,492
510,492,495,374,496
470,488,491,366,498
491,488,495,372,491
487,489,495,392,490
483,494,495,444,488
484,496,495,506,485
489,494,493,580,487
466,494,487,635,492
483,497,491,640,491
500,495,496,625,492
530,496,498,539,490
504,492,496,441,495
517,495,497,397,500
533,502,501,372,499
538,498,499,373,493
534,493,501,379,491
524,495,500,412,493
478,496,496,471,489
487,495,489,533,498
438,493,484,613,501
468,496,489,641,493
490,495,495,635,489
500,497,497,594,492
476,489,499,493,494
482,496,499,415,490
492,493,493,376,485
509,490,489,366,484
512,497,496,375,489
540,497,498,390,492
519,497,499,440,493
511,494,503,505,490
540,488,505,573,496
472,492,498,639,505
519,495,496,644,502
532,494,491,630,502
480,492,486,552,502
460,492,488,448,499
466,487,489,396,500
489,496,490,367,493
493,495,492,366,494
480,494,495,376,489
500,499,500,405,489
538,501,504,468,492
546,507,500,528,493
496,499,495,605,483
460,492,493,641,483
489,492,492,636,489
481,483,490,602,488
491,491,496,503,491
509,497,499,422,492
525,497,496,384,497
512,495,488,366,498
508,497,494,374,496
528,497,497,382,487
477,486,492,427,483
478,490,495,490,484
472,496,496,560,486
478,492,498,629,494
500,488,496,644,496
518,493,496,633,493
541,492,496,565,491
458,491,493,459,489
475,496,492,402,488
504,503,499,369,493
513,502,496,370,489
520,499,490,374,488
475,488,487,398,488
462,488,490,455,496
488,493,492,519,497
499,494,494,596,489
502,494,498,641,496
525,492,499,638,492
504,497,501,612,496
476,494,499,519,488
501,491,499,430,487
543,496,501,393,488
594,499,498,370,489
499,495,495,373,495
482,494,493,382,494
458,490,491,422,486
476,492,488,481,487
467,490,484,549,486
469,492,487,620,489
479,497,490,639,492
490,493,491,631,493
501,495,496,579,489
504,496,496,468,489
472,490,498,408,494
507,494,499,372,496
544,500,503,371,495
583,507,504,380,490
563,499,494,396,488
444,488,489,444,486
439,486,491,510,487
490,490,488,586,489
469,491,490,638,494
486,491,492,638,496
511,494,497,620,500
506,496,496,531,506
486,506,501,436,504
485,495,496,391,490
491,481,488,364,490
489,496,485,369,502
501,498,492,379,489
496,492,498,415,488
536,496,503,479,487
552,492,497,543,488
513,496,493,620,493
443,490,484,638,489
449,496,491,631,485
514,498,498,592,491
526,498,505,486,493
561,500,505,417,490
515,494,494,375,483
469,487,484,360,486
435,491,488,371,486
474,492,492,392,490
493,498,497,444,490
515,504,501,509,488
541,499,498,580,489
539,490,492,637,498
476,488,483,636,493
440,486,485,623,484
478,491,490,541,484
502,495,496,445,494
520,494,496,395,487
482,493,498,366,492
477,494,492,367,494
488,493,495,376,491
490,489,498,408,489
493,493,498,469,489
521,500,498,536,487
551,500,499,617,490
504,496,489,641,488
463,493,490,635,489
483,487,492,597,493
487,490,494,496,497
521,495,494,416,492
494,494,494,378,485
492,493,494,362,488
489,491,495,370,488
480,492,497,384,491
485,490,491,433,490
503,496,486,495,491
492,497,493,567,492
516,500,496,633,496
500,495,498,640,497
458,490,497,627,492
475,489,489,554,487
492,493,489,451,483
514,494,491,398,490
521,492,496,365,498
480,491,493,367,494
487,495,494,374,485
514,501,491,403,486
502,496,492,459,490
520,501,499,525,491
564,502,504,610,491
567,491,498,640,486
442,484,489,631,491
421,486,485,605,500
469,495,491,506,490
481,493,494,419,477
512,495,493,385,487
508,497,490,363,488
474,496,489,369,487
470,487,493,379,491
478,486,493,425,491
503,493,498,488,491
512,496,505,561,492
527,495,500,627,488
504,493,499,644,488
517,500,494,634,490
476,494,485,570,489
484,495,490,462,489
468,488,488,403,487
505,493,491,369,491
519,497,494,367,491
518,498,500,374,489
506,495,501,396,487
482,488,498,454,494
493,487,496,518,493
508,495,488,594,488
500,491,488,640,488
504,497,491,637,499
509,498,492,618,503
480,492,489,521,506
475,493,493,426,488
491,490,498,388,489
488,487,503,366,484
487,493,498,370,482
489,491,496,381,486
494,490,493,420,494
495,494,483,478,494
468,493,483,546,498
499,493,490,621,505
510,494,497,642,503
508,500,497,631,500
479,497,492,583,496
483,494,496,475,492
498,498,499,409,490
492,495,499,372,484
504,496,496,368,485
517,503,489,374,505
507,501,488,395,505
505,496,489,443,495
474,492,488,506,490
465,488,493,577,484
472,489,501,637,488
512,490,499,640,486
510,492,494,624,489
518,497,492,536,490
495,498,497,438,488
522,497,495,393,484
460,489,493,366,491
497,485,497,369,496
497,489,492,379,493
460,492,494,410,484
479,484,492,471,486
518,491,488,538,489
520,493,487,614,494
482,492,487,639,488
483,494,490,630,481
467,494,491,588,485
493,495,495,487,486
491,493,493,412,488
471,496,494,377,488
508,495,498,367,491
510,497,495,374,488
495,492,492,386,487
478,491,492,437,487
486,490,491,499,488
482,491,490,571,491
510,500,497,635,490
532,501,498,640,487
523,497,497,626,488
492,487,497,547,490
487,494,496,447,496
507,494,499,399,502
481,492,488,365,489
453,491,486,366,491
481,492,489,375,482
496,494,490,405,486
496,496,495,463,489
518,497,498,529,490
526,503,499,610,492
532,507,500,643,489
495,489,488,632,490
466,486,484,597,495
469,486,486,497,493
475,488,497,416,483
500,491,495,381,488
505,495,493,364,490
465,490,493,369,488
496,494,490,380,486
499,493,490,431,488
493,490,492,492,487
485,489,491,559,485
485,492,493,629,489
482,491,494,639,490
498,491,493,629,492
494,496,495,563,497
519,497,491,457,496
516,497,488,399,494
485,494,492,364,499
458,488,492,366,497
484,496,496,374,484
508,488,491,399,476
478,488,493,455,482
491,495,492,518,488
500,497,495,602,487
521,493,500,642,488
524,493,496,639,487
516,491,493,608,490
452,489,488,509,489
457,492,491,422,487
487,503,490,385,488
480,501,489,364,489
465,485,490,370,494
510,487,492,382,497
519,495,494,424,498
503,492,492,484,489
480,486,488,548,483
469,491,488,624,485
493,493,493,639,488
515,492,495,631,487
514,494,494,573,489
491,495,495,469,500
491,498,495,405,505
479,499,494,366,488
466,496,493,364,484
485,485,495,372,496
